CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0022000004433403RW1P;13/05/2021;15;0,187;R
ES0022000004433403RW1P;13/05/2021;16;0,220;R
ES0022000004433403RW1P;13/05/2021;17;0,186;R
ES0022000004433403RW1P;13/05/2021;18;0,294;R
ES0022000004433403RW1P;13/05/2021;19;0,455;R
ES0022000004433403RW1P;13/05/2021;20;1,408;R
ES0022000004433403RW1P;13/05/2021;21;1,233;R
ES0022000004433403RW1P;13/05/2021;22;0,938;R
ES0022000004433403RW1P;13/05/2021;23;0,340;R
ES0022000004433403RW1P;13/05/2021;24;0,229;R
ES0022000004433403RW1P;14/05/2021;1;0,151;R
ES0022000004433403RW1P;14/05/2021;2;0,100;R
ES0022000004433403RW1P;14/05/2021;3;0,100;R
ES0022000004433403RW1P;14/05/2021;4;0,095;R
ES0022000004433403RW1P;14/05/2021;5;0,098;R
ES0022000004433403RW1P;14/05/2021;6;0,093;R
ES0022000004433403RW1P;14/05/2021;7;0,098;R
ES0022000004433403RW1P;14/05/2021;8;0,357;R
ES0022000004433403RW1P;14/05/2021;9;0,219;R
ES0022000004433403RW1P;14/05/2021;10;0,309;R
ES0022000004433403RW1P;14/05/2021;11;0,339;R
ES0022000004433403RW1P;14/05/2021;12;0,188;R
ES0022000004433403RW1P;14/05/2021;13;0,208;R
ES0022000004433403RW1P;14/05/2021;14;0,237;R
ES0022000004433403RW1P;14/05/2021;15;0,204;R
ES0022000004433403RW1P;14/05/2021;16;0,207;R
ES0022000004433403RW1P;14/05/2021;17;0,274;R
ES0022000004433403RW1P;14/05/2021;18;0,266;R
ES0022000004433403RW1P;14/05/2021;19;0,321;R
ES0022000004433403RW1P;14/05/2021;20;0,344;R
ES0022000004433403RW1P;14/05/2021;21;0,872;R
ES0022000004433403RW1P;14/05/2021;22;0,619;R
ES0022000004433403RW1P;14/05/2021;23;0,448;R
ES0022000004433403RW1P;14/05/2021;24;0,392;R
ES0022000004433403RW1P;15/05/2021;1;0,311;R
ES0022000004433403RW1P;15/05/2021;2;0,227;R
ES0022000004433403RW1P;15/05/2021;3;0,311;R
ES0022000004433403RW1P;15/05/2021;4;0,189;R
ES0022000004433403RW1P;15/05/2021;5;0,173;R
ES0022000004433403RW1P;15/05/2021;6;0,165;R
ES0022000004433403RW1P;15/05/2021;7;0,166;R
ES0022000004433403RW1P;15/05/2021;8;0,173;R
ES0022000004433403RW1P;15/05/2021;9;0,176;R
ES0022000004433403RW1P;15/05/2021;10;0,177;R
ES0022000004433403RW1P;15/05/2021;11;0,376;R
ES0022000004433403RW1P;15/05/2021;12;1,188;R
ES0022000004433403RW1P;15/05/2021;13;0,987;R
ES0022000004433403RW1P;15/05/2021;14;1,309;R
ES0022000004433403RW1P;15/05/2021;15;0,437;R
ES0022000004433403RW1P;15/05/2021;16;0,483;R
ES0022000004433403RW1P;15/05/2021;17;0,403;R
ES0022000004433403RW1P;15/05/2021;18;0,406;R
ES0022000004433403RW1P;15/05/2021;19;0,416;R
ES0022000004433403RW1P;15/05/2021;20;0,971;R
ES0022000004433403RW1P;15/05/2021;21;0,718;R
ES0022000004433403RW1P;15/05/2021;22;1,294;R
ES0022000004433403RW1P;15/05/2021;23;0,616;R
ES0022000004433403RW1P;15/05/2021;24;0,448;R
ES0022000004433403RW1P;16/05/2021;1;0,346;R
ES0022000004433403RW1P;16/05/2021;2;0,216;R
ES0022000004433403RW1P;16/05/2021;3;0,114;R
ES0022000004433403RW1P;16/05/2021;4;0,117;R
ES0022000004433403RW1P;16/05/2021;5;0,124;R
ES0022000004433403RW1P;16/05/2021;6;0,105;R
